account,transaction_date,description_1,description_2,amount,amount_us,notes,category,sub_category
Credit Card 1,2022-10-07,Satterfield Group,Electronic Components,-972.67,,,,
Credit Card 1,2023-02-22,Hettinger Group,,-814.73,,,,
Credit Card 2,2023-01-08,McCullough and Sons,Investment Bankers/Brokers/Service,328.86,,,,
Credit Card 2,2022-09-09,Bode LLC,n/a,875.72,,,,
Credit Card 2,2022-05-21,"Bashirian, Kutch and Kuvalis",,-56.79,,,,
Credit Card 1,2023-01-13,Simonis Group,Building Products,720.24,,,,
Bank 1,2023-05-22,Wuckert LLC,,-692.81,,,,
Credit Card 2,2022-05-16,"Tromp, Von and Doyle",Radio And Television Broadcasting And Communications Equipment,-353.08,,,,
Credit Card 1,2022-07-31,Steuber and Sons,Major Pharmaceuticals,164.97,,,,
Credit Card 1,2023-03-02,"Marquardt, Bahringer and Fadel",,-485.69,,,,
Credit Card 1,2023-05-20,Barton Inc,,950.1,,,,
Bank 2,2023-03-11,"Stark, Cummerata and Senger",,565.69,,,,
Credit Card 1,2023-03-30,"Beer, Volkman and DuBuque",Real Estate Investment Trusts,-108.77,,,,
Bank 1,2022-04-09,"Hegmann, Haley and Gibson",Homebuilding,927.98,,,,
Credit Card 1,2022-08-07,Skiles and Sons,,591.97,,,,
Credit Card 2,2023-05-02,"Ortiz, Shields and Carroll",Investment Managers,558.27,,,,
Bank 1,2023-05-07,Kshlerin Group,,688.4,,,,
Credit Card 2,2023-03-14,"Brown, Bins and Bechtelar",,921.89,,,,
Credit Card 1,2023-01-26,Carter-O'Hara,,-284.71,,,,
Bank 1,2022-03-11,Vandervort LLC,,33.72,,,,
Credit Card 2,2023-03-28,Feest LLC,Real Estate,-682.6,,,,
Credit Card 2,2022-12-22,"Hilll, Moore and Hagenes",,987.04,,,,
Credit Card 1,2022-09-18,Blanda-Bins,,139.59,,,,
Bank 2,2022-06-05,Smitham-Hodkiewicz,,640.46,,,,
Credit Card 1,2023-04-04,Wunsch LLC,,-799.36,,,,
Credit Card 2,2022-03-09,"Lynch, Gorczany and Wolff",,739.41,,,,
Credit Card 2,2022-09-12,Torp Inc,n/a,693.85,,,,
Credit Card 2,2022-10-13,Collier-McLaughlin,n/a,-685.14,,,,
Bank 1,2022-01-01,"Windler, Schaefer and Mohr",,-852.5,,,,
Bank 1,2022-06-17,Cummings Inc,,221.56,,,,
Bank 1,2022-11-22,"Strosin, Quigley and Jerde",Major Pharmaceuticals,856.66,,,,
Bank 1,2023-05-08,Fay-Jast,,-238.67,,,,
Bank 2,2023-05-13,Medhurst-Erdman,Major Pharmaceuticals,113.72,,,,
Bank 1,2022-05-13,Aufderhar-Schiller,Biotechnology: Biological Products (No Diagnostic Substances),897.09,,,,
Credit Card 1,2023-02-11,Gleichner-Turner,Newspapers/Magazines,276.27,,,,
Credit Card 2,2022-09-10,Corwin Inc,,-672.57,,,,
Credit Card 2,2022-01-05,Bauch LLC,,-782.65,,,,
Credit Card 1,2022-02-27,Mayert-Schultz,,-953.35,,,,
Credit Card 2,2022-02-16,Rowe Group,,-326.34,,,,
Bank 1,2022-02-10,Kris-Schowalter,,392.97,,,,
Bank 2,2022-05-25,Legros-Tillman,,-121.24,,,,
Bank 2,2023-01-30,"Green, Streich and D'Amore",n/a,-560.19,,,,
Credit Card 1,2022-09-03,Schoen-Roob,Computer peripheral equipment,-119.8,,,,
Bank 2,2022-01-10,Fritsch-Schiller,,-448.36,,,,
Credit Card 2,2022-09-26,Zulauf Inc,n/a,-632.15,,,,
Credit Card 2,2023-02-19,"Wyman, O'Connell and Sauer",,-286.31,,,,
Credit Card 1,2023-04-12,"Becker, Brekke and Armstrong",,129.53,,,,
Bank 2,2022-09-08,White LLC,,-785.0,,,,
Credit Card 1,2022-06-19,Vandervort-Hessel,,509.91,,,,
Credit Card 1,2022-03-20,"Mitchell, Prosacco and Bauch",,579.29,,,,
Bank 2,2022-06-15,Bogisich and Sons,n/a,932.3,,,,
Credit Card 1,2022-04-19,O'Kon Group,Major Pharmaceuticals,926.19,,,,
Credit Card 1,2023-03-30,Stoltenberg-Franecki,,-586.77,,,,
Credit Card 1,2022-11-24,"Volkman, Daniel and Stark",,-939.74,,,,
Credit Card 2,2022-03-11,Roberts Group,,-58.29,,,,
Credit Card 2,2022-10-27,Robel and Sons,,-335.05,,,,
Credit Card 2,2022-10-25,Pfeffer LLC,Telecommunications Equipment,936.48,,,,
Bank 2,2023-03-30,Rohan and Sons,,815.09,,,,
Credit Card 1,2023-03-03,"Treutel, Lakin and Smith",Major Pharmaceuticals,334.15,,,,
Bank 1,2022-11-15,Feil and Sons,Beverages (Production/Distribution),-159.35,,,,
Credit Card 2,2023-01-17,"Gutkowski, Fay and Stamm",,-602.11,,,,
Bank 1,2022-02-14,"Flatley, Gulgowski and Schiller",,-851.4,,,,
Credit Card 1,2022-05-29,Abshire Group,Oil & Gas Production,-115.0,,,,
Bank 2,2023-04-04,"Keebler, Tillman and Lakin",,-898.45,,,,
Credit Card 1,2022-04-09,"Harber, Lemke and Buckridge",,-429.46,,,,
Bank 2,2022-12-06,Ortiz LLC,Real Estate Investment Trusts,532.71,,,,
Bank 2,2022-11-07,Simonis-Grant,,-554.49,,,,
Bank 2,2022-11-11,"Langworth, Kerluke and Mueller",Industrial Specialties,576.32,,,,
Bank 1,2022-05-18,Sanford-Fritsch,,-166.6,,,,
Credit Card 1,2022-06-30,"O'Reilly, Roob and Beer",,-576.63,,,,
Bank 1,2022-11-01,Bins-Orn,Industrial Machinery/Components,-961.0,,,,
Credit Card 2,2022-01-04,Harber LLC,Automotive Aftermarket,784.94,,,,
Bank 2,2023-04-30,Keebler LLC,Biotechnology: Biological Products (No Diagnostic Substances),-196.54,,,,
Bank 2,2023-01-03,Collins-Cummings,,-505.32,,,,
Credit Card 1,2022-07-12,Cronin Inc,,202.44,,,,
Bank 1,2022-10-18,Barrows-Metz,,657.22,,,,
Credit Card 2,2022-03-28,Jacobi and Sons,Consumer Electronics/Appliances,-257.06,,,,
Credit Card 1,2023-01-30,Wilderman LLC,Advertising,-305.5,,,,
Credit Card 1,2022-02-24,Parker LLC,,-497.36,,,,
Credit Card 2,2022-06-28,Willms and Sons,n/a,-970.28,,,,
Bank 2,2023-01-02,Rau and Sons,Electrical Products,-957.76,,,,
Credit Card 1,2023-03-31,McCullough LLC,,-256.46,,,,
Bank 2,2022-05-26,"Cronin, Brekke and Kautzer",Telecommunications Equipment,296.03,,,,
Bank 1,2022-10-19,"Kunde, Kertzmann and Kling",Railroads,574.12,,,,
Bank 1,2022-04-21,Monahan-Hills,,933.54,,,,
Bank 1,2022-08-26,Olson-Dach,n/a,299.2,,,,
Credit Card 2,2022-11-18,Grady LLC,n/a,552.47,,,,
Bank 1,2022-07-03,Reinger Group,,-107.61,,,,
Credit Card 1,2023-03-29,Cartwright-Collins,,581.99,,,,
Credit Card 2,2022-05-22,Leuschke Inc,Major Chemicals,328.02,,,,
Bank 1,2023-01-22,Parisian Inc,,-998.55,,,,
Bank 1,2023-01-13,O'Connell Inc,,366.82,,,,
Bank 2,2023-02-04,"Auer, Haag and Nikolaus",n/a,725.23,,,,
Bank 2,2023-03-29,Marks-Tillman,Major Pharmaceuticals,-209.61,,,,
Credit Card 1,2022-08-25,Kirlin-Ullrich,,-666.37,,,,
Credit Card 2,2022-05-26,Robel Inc,,823.33,,,,
Bank 2,2022-06-06,Denesik LLC,,47.35,,,,
Credit Card 2,2022-05-10,Johnston and Sons,,147.26,,,,
Bank 1,2023-03-29,"Heidenreich, Hyatt and Gerlach",n/a,195.9,,,,
Bank 1,2022-08-22,Witting and Sons,n/a,-282.88,,,,
Credit Card 2,2022-12-28,Nienow Inc,Commercial Banks,234.95,,,,
Bank 1,2023-03-17,"Grimes, Terry and Swift",,-187.74,,,,
Credit Card 2,2022-03-21,Emmerich Inc,Major Banks,-736.89,,,,
Bank 1,2022-12-14,"Corwin, Braun and Lynch",,980.66,,,,
Credit Card 2,2022-11-26,"Hartmann, McCullough and Kertzmann",,926.75,,,,
Credit Card 2,2022-05-16,"Mayer, Williamson and Jacobi",,968.06,,,,
Credit Card 2,2022-08-11,Streich Inc,Electronic Components,420.84,,,,
Bank 2,2022-11-28,Johnston-Conn,,763.62,72,,,
Bank 2,2022-04-28,Jerde-Zulauf,,524.52,,,,
Bank 1,2022-05-21,"Predovic, Walter and Hansen",,950.9,,,,
Credit Card 1,2022-01-17,"Ward, Flatley and Reynolds",,61.95,,,,
Credit Card 1,2023-03-10,Wisoky Group,Property-Casualty Insurers,909.43,,,,
Credit Card 2,2023-02-03,"Cassin, Goyette and Blick",,-701.02,,,,
Bank 1,2022-01-07,Fay-Willms,,-347.64,,,,
Bank 1,2022-09-30,"Lehner, Hermann and Sanford",Engineering & Construction,-698.33,,,,
Bank 2,2022-02-26,Schmeler-Kiehn,n/a,-798.01,,,,
Credit Card 1,2022-09-30,"Watsica, Kassulke and Fisher",,-669.31,,,,
Credit Card 1,2023-01-19,"Turcotte, Gorczany and O'Reilly",,-440.25,,,,
Bank 1,2023-01-12,Smith LLC,,840.3,,,,
Bank 1,2023-05-06,Toy-Bode,Biotechnology: Commercial Physical & Biological Resarch,350.1,,,,
Bank 1,2022-06-21,Kohler Inc,Major Pharmaceuticals,-663.29,,,,
Bank 2,2022-06-04,Dare-Hagenes,,505.2,,,,
Bank 1,2022-09-06,"Ankunding, Hessel and Hodkiewicz",n/a,-308.01,,,,
Credit Card 2,2022-06-12,Thompson and Sons,,812.86,,,,
Bank 1,2022-11-07,"Batz, Bauch and Champlin",Property-Casualty Insurers,271.56,,,,
Credit Card 2,2022-12-28,Senger LLC,,-228.21,,,,
Credit Card 1,2022-01-27,D'Amore LLC,,-168.84,,,,
Credit Card 1,2023-04-06,Grant Inc,Biotechnology: Electromedical & Electrotherapeutic Apparatus,496.15,,,,
Bank 2,2022-05-26,Kovacek and Sons,,-681.16,,,,
Bank 1,2022-03-15,"Schuster, Johnson and Kirlin",Telecommunications Equipment,939.28,,,,
Credit Card 2,2022-10-21,Willms-Von,Computer Software: Prepackaged Software,-518.49,,,,
Bank 2,2022-12-22,Carter LLC,,574.09,,,,
Bank 2,2022-07-19,Rowe Inc,Restaurants,878.25,,,,
Credit Card 1,2022-06-29,Christiansen Group,,122.16,,,,
Credit Card 2,2022-07-11,"O'Hara, Stiedemann and Reichert",,2.86,,,,
Credit Card 1,2023-03-05,Cormier and Sons,,-369.98,,,,
Bank 1,2022-04-13,Feeney-Kuvalis,,985.22,,,,
Bank 2,2022-08-02,Hudson-Cole,n/a,891.75,,,,
Bank 2,2022-07-07,Wunsch-Rogahn,,669.39,,,,
Credit Card 2,2022-10-15,Green-Haley,,-617.33,,,,
Credit Card 2,2023-04-10,Okuneva-Abshire,Restaurants,728.62,,,,
Credit Card 1,2022-12-30,"Wintheiser, Kuhlman and Hodkiewicz",,687.51,,,,
Credit Card 1,2022-08-10,Spinka Inc,,-523.83,,,,
Credit Card 1,2022-08-19,Johns Inc,,607.82,,,,
Bank 1,2022-05-01,O'Conner Group,,-878.48,,,,
Bank 1,2022-10-31,Grimes and Sons,n/a,-329.06,,,,
Credit Card 1,2023-03-18,Romaguera and Sons,Major Banks,374.4,,,,
Credit Card 1,2022-04-26,Osinski LLC,Major Banks,894.45,,,,
Bank 2,2023-03-28,"Lynch, Kuvalis and Rodriguez",Hospital/Nursing Management,-674.08,,,,
Credit Card 2,2023-04-28,Morissette Inc,,-67.01,,,,
Credit Card 2,2023-03-21,Kuhic-Corwin,,-279.87,,,,
Bank 1,2022-09-19,Ruecker-Halvorson,Semiconductors,-791.38,,,,
Bank 2,2022-11-18,"Pagac, Bode and Heller",Trucking Freight/Courier Services,28.77,,,,
Bank 1,2022-06-11,Powlowski-Walsh,,776.1,,,,
Credit Card 2,2023-05-06,"McGlynn, Harris and Mayer",,507.05,,,,
Bank 2,2022-08-20,"Kassulke, Beer and Marks",,595.72,,,,
Bank 1,2022-06-02,"Dietrich, Schamberger and Conn",,809.52,,,,
Bank 1,2022-12-10,Zieme Group,Real Estate Investment Trusts,838.03,,,,
Credit Card 2,2022-05-18,Spencer-Parisian,,-912.94,,,,
Bank 1,2022-08-03,Kerluke-Konopelski,Major Pharmaceuticals,633.73,,,,
Credit Card 2,2022-10-19,"Conroy, Schultz and Dooley",,-939.48,,,,
Credit Card 2,2023-03-19,Ondricka LLC,,52.14,26,,,
Bank 1,2023-05-23,Kerluke and Sons,Automotive Aftermarket,-194.22,,,,
Credit Card 1,2022-05-09,Yundt LLC,,-71.96,,,,
Credit Card 1,2022-11-04,Fritsch-Cole,n/a,704.83,,,,
Bank 2,2022-05-23,"Runte, Marvin and Stracke",n/a,-332.62,,,,
Credit Card 2,2023-02-05,Durgan and Sons,,-166.49,,,,
Credit Card 2,2023-05-10,"Leffler, Simonis and Schumm",Business Services,-922.7,,,,
Bank 1,2022-01-27,Deckow-Lubowitz,n/a,440.33,,,,
Credit Card 2,2023-02-02,Mertz LLC,Meat/Poultry/Fish,495.47,,,,
Bank 1,2022-04-15,Windler-Armstrong,,979.72,,,,
Credit Card 2,2023-01-31,"Schuster, Funk and Reilly",Hotels/Resorts,681.19,,,,
Credit Card 2,2022-09-04,Windler-Cronin,,-94.35,,,,
Credit Card 2,2022-02-27,Bins Group,Broadcasting,-107.88,,,,
Bank 2,2023-01-01,Murphy Group,Oil & Gas Production,-644.36,,,,
Credit Card 1,2023-05-17,"Wintheiser, Jakubowski and Ankunding",,-45.94,,,,
Credit Card 1,2022-07-08,"Frami, Heller and Howe",n/a,116.38,,,,
Bank 1,2022-08-12,Schroeder and Sons,Industrial Machinery/Components,-492.14,56,,,
Bank 2,2022-02-07,"Kuhic, Jacobi and Kulas",Commercial Banks,-758.09,,,,
Credit Card 1,2022-12-03,Wintheiser-Hilpert,,320.6,,,,
Credit Card 2,2022-02-01,"Turner, Macejkovic and Skiles",Telecommunications Equipment,-902.99,,,,
Bank 2,2022-02-20,Kuhic-Olson,Diversified Commercial Services,396.95,,,,
Credit Card 2,2022-04-11,Russel-Jacobi,Telecommunications Equipment,840.73,,,,
Bank 1,2023-01-11,Keebler-Schowalter,Business Services,353.17,,,,
Credit Card 2,2022-05-18,Powlowski Group,n/a,355.16,,,,
Bank 2,2022-03-04,Wintheiser LLC,Major Banks,402.6,,,,
Bank 2,2022-06-06,Walsh-Hintz,,837.04,,,,
Credit Card 2,2022-12-25,"Adams, Jenkins and Becker",,519.38,,,,
Credit Card 2,2022-04-08,Wintheiser-Simonis,,-804.89,,,,
Credit Card 1,2023-03-09,Bernier and Sons,,-463.08,,,,
Bank 2,2023-04-14,Kunde-Beahan,Finance: Consumer Services,-489.18,,,,
Credit Card 1,2022-07-29,"Rau, Stark and Crona",,671.33,,,,
Bank 1,2022-10-20,Lynch-Larson,,-598.89,,,,
Credit Card 2,2023-03-21,"Hegmann, Moen and Gorczany",,634.69,,,,
Credit Card 2,2023-04-02,Oberbrunner-Yost,n/a,60.52,,,,
Credit Card 1,2023-04-12,"Labadie, Cassin and Hagenes",n/a,455.47,,,,
Credit Card 2,2022-09-28,"Glover, Cole and Schumm",,31.06,,,,
Bank 2,2023-03-05,Kulas and Sons,,857.56,,,,
Bank 1,2022-03-14,Goyette-Murray,,-789.29,,,,
Bank 2,2023-05-18,"Pollich, Nolan and Wolff",,-380.91,,,,
Credit Card 1,2022-03-17,Gleichner-Stoltenberg,,734.53,,,,
Credit Card 2,2022-09-15,"Turner, Kerluke and Wisoky",,18.24,,,,
Bank 2,2022-02-20,"Weber, Weissnat and Renner",,-796.83,,,,
Credit Card 2,2022-04-10,Walker Group,Major Pharmaceuticals,191.84,,,,
Bank 1,2022-09-05,McLaughlin-Quitzon,,-71.88,,,,
Bank 1,2022-06-16,Cremin-Jacobson,Major Pharmaceuticals,145.69,,,,
Bank 1,2022-07-03,"Jacobson, Davis and Schumm",Computer Software: Prepackaged Software,-596.9,,,,
Credit Card 1,2022-05-15,"Stamm, Cronin and Zboncak",,-824.17,,,,
Bank 1,2023-05-03,"Kilback, Mayert and Lockman",Major Pharmaceuticals,423.42,,,,
Bank 2,2022-10-14,"Hessel, Kulas and Fisher",,-485.37,,,,
Bank 1,2022-06-12,Kuvalis LLC,,-419.57,,,,
Credit Card 1,2022-09-14,Koelpin-Schowalter,Oil & Gas Production,-858.3,,,,
Bank 2,2022-04-24,Conn-Dooley,,955.5,,,,
Bank 2,2023-05-01,Nolan-Fay,,-986.12,,,,
Credit Card 1,2023-03-16,Zieme LLC,Major Pharmaceuticals,-353.64,,,,
Bank 1,2022-09-06,"Kris, Ortiz and Deckow",,593.04,,,,
Credit Card 2,2023-03-03,"Morissette, Jaskolski and Denesik",Major Chemicals,-373.77,,,,
Credit Card 2,2023-05-22,Ruecker and Sons,,-608.52,,,,
Bank 1,2022-05-26,"Weber, Ziemann and Cruickshank",Oil & Gas Production,215.5,,,,
Credit Card 1,2022-01-04,Lind and Sons,,911.41,,,,
Bank 1,2023-01-07,Mosciski-Olson,Real Estate,-774.14,,,,
Credit Card 2,2022-02-03,Bins-Boyle,"Computer Software: Programming, Data Processing",-184.91,,,,
Credit Card 2,2022-07-25,"Runte, Hilpert and Cremin",,870.25,,,,
Bank 1,2022-01-21,"Luettgen, Sporer and Leannon",Business Services,-923.26,,,,
Bank 2,2022-01-17,Gleason-Nitzsche,Beverages (Production/Distribution),-351.75,,,,
Bank 1,2023-01-04,Spinka-Bartell,,233.04,,,,
Bank 2,2022-02-19,Wolff and Sons,Oil & Gas Production,-868.94,,,,
Bank 1,2022-11-06,"Ruecker, Breitenberg and Daugherty",,272.2,,,,
Credit Card 2,2022-06-11,Herman and Sons,Major Banks,34.11,,,,
Bank 1,2022-04-10,"Huels, Swift and Kassulke",,233.78,,,,
Credit Card 2,2022-06-08,"Satterfield, Ortiz and Gusikowski",n/a,-875.56,,,,
Bank 1,2022-11-26,Ryan-Leannon,Property-Casualty Insurers,-169.5,,,,
Credit Card 2,2023-01-03,Romaguera LLC,Auto Parts:O.E.M.,259.51,,,,
Credit Card 2,2022-08-01,Senger Inc,Marine Transportation,489.3,,,,
Bank 2,2022-11-15,Yundt and Sons,Trucking Freight/Courier Services,-660.35,,,,
Bank 1,2022-05-22,"Hauck, Johns and Runolfsson",,516.02,,,,
Credit Card 1,2023-01-17,Padberg-Waelchi,Precious Metals,-358.95,,,,
Credit Card 2,2022-11-05,Raynor-Grady,Precious Metals,924.12,,,,
Credit Card 2,2022-04-23,Murphy LLC,Oil & Gas Production,798.8,,,,
Bank 2,2022-07-20,Gerhold Inc,,550.33,,,,
Bank 2,2023-01-04,Mraz-Nader,,-483.34,,,,
Credit Card 2,2022-04-29,Schimmel Inc,,751.3,,,,
Bank 2,2023-01-07,Zboncak-Harvey,,739.84,,,,
Credit Card 2,2023-04-01,"Von, Klocko and Tremblay",,-528.05,,,,
Bank 2,2023-01-11,Lang-Fritsch,n/a,175.21,,,,
Bank 1,2022-01-07,Stark and Sons,,-66.02,,,,
Bank 2,2022-01-29,"Johnston, MacGyver and Lubowitz",Oil & Gas Production,-557.35,,,,
Credit Card 2,2023-04-15,Schulist Group,Major Pharmaceuticals,-687.98,,,,
Bank 2,2022-07-17,Sporer-Turcotte,Hospital/Nursing Management,-759.14,,,,
Credit Card 2,2022-10-18,Sporer Group,,748.54,,,,
Bank 1,2022-10-01,Medhurst-Buckridge,Industrial Machinery/Components,-39.96,,,,
Credit Card 1,2023-04-26,"Morar, Blick and Cummings",,78.66,,,,
Bank 1,2022-08-18,King Group,,-835.17,,,,
Bank 1,2022-04-17,Bartell Inc,n/a,326.55,,,,
Bank 2,2023-03-19,O'Connell-Williamson,,135.59,,,,
Bank 2,2023-03-08,Gutmann-Goyette,,202.14,,,,
Bank 1,2022-09-13,"Sanford, Bashirian and Zemlak",Metal Fabrications,-907.13,,,,
Credit Card 2,2022-11-10,Hermiston LLC,n/a,778.68,,,,
Bank 2,2023-02-19,Jaskolski-Kuvalis,Major Pharmaceuticals,611.11,,,,
Credit Card 1,2022-11-22,Stracke Group,Biotechnology: Biological Products (No Diagnostic Substances),660.14,,,,
Credit Card 2,2022-11-08,"Hilpert, Conroy and Rath",n/a,-687.74,,,,
Bank 1,2023-03-15,Waters Group,,482.84,,,,
Bank 1,2022-05-01,"Hills, Trantow and Veum",,118.28,,,,
Credit Card 1,2022-05-16,Homenick-Larson,Savings Institutions,-528.25,,,,
Credit Card 1,2023-03-03,Stiedemann-Carroll,Other Specialty Stores,921.99,,,,
Bank 1,2022-01-21,Pfeffer-Torphy,,-618.03,,,,
Bank 2,2023-03-30,Skiles-Torphy,,411.33,,,,
Credit Card 1,2022-12-23,Welch Inc,,197.91,,,,
Credit Card 1,2022-04-02,Luettgen Inc,,-605.87,,,,
Bank 1,2022-08-12,"Turner, Upton and Wisozk",Major Banks,394.21,,,,
Bank 2,2022-12-15,Anderson LLC,n/a,93.96,,,,
Bank 2,2022-06-19,Treutel-Ferry,,-863.95,,,,
Bank 1,2022-06-24,Fahey-Streich,,286.67,,,,
Bank 1,2022-08-11,Schamberger-Mosciski,,401.08,,,,
Credit Card 1,2023-04-03,Ullrich Inc,,834.63,,,,
Credit Card 1,2023-05-01,Macejkovic-Lind,,336.92,,,,
Credit Card 1,2022-10-30,"Hilll, Spinka and Botsford",Biotechnology: Biological Products (No Diagnostic Substances),-860.67,,,,
Credit Card 2,2022-10-21,Mann Group,n/a,-372.24,,,,
Bank 2,2022-03-31,Sipes Group,Commercial Banks,-54.24,,,,
Credit Card 2,2022-05-29,Von Group,Real Estate Investment Trusts,2.5,,,,
Bank 2,2022-12-12,Abbott-Borer,,-569.61,,,,
Credit Card 1,2022-09-05,Howell LLC,Major Pharmaceuticals,392.11,,,,
Bank 2,2022-05-15,Konopelski-Keeling,Investment Managers,59.66,,,,
Bank 1,2022-12-20,"Mayert, Pollich and Macejkovic",n/a,936.88,,,,
Credit Card 2,2023-05-08,"Mertz, VonRueden and Ebert",,177.98,,,,
Credit Card 1,2022-12-15,"Jacobs, Gutkowski and Runte",,694.53,,,,
Credit Card 2,2022-07-23,"Schroeder, Ledner and Littel",,46.78,,,,
Bank 1,2022-03-05,Kutch LLC,,-476.94,,,,
Bank 2,2023-03-29,"Durgan, Hansen and Ward",,915.79,,,,
Bank 2,2022-12-22,"Rempel, Emard and Hackett",,-747.43,,,,
Credit Card 2,2022-01-03,Gerhold LLC,,9.27,,,,
Credit Card 2,2022-01-29,Sawayn-Schimmel,,-891.49,,,,
Credit Card 2,2022-05-11,Davis-Roberts,,430.44,,,,
Bank 2,2022-12-16,Barton Inc,Clothing/Shoe/Accessory Stores,95.92,,,,
Bank 2,2022-03-09,"Deckow, Jakubowski and Lakin",Biotechnology: Biological Products (No Diagnostic Substances),62.32,,,,
Bank 2,2022-06-11,Simonis-Fahey,,293.03,18,,,
Bank 2,2023-05-06,Lehner and Sons,,444.58,,,,
Bank 1,2022-12-26,Yost-Haley,Industrial Specialties,-947.79,,,,
Bank 1,2023-01-22,"Strosin, Abbott and Stanton",Life Insurance,-768.11,,,,
Bank 2,2022-11-11,"Frami, Fahey and Renner",,-333.71,,,,
Credit Card 1,2022-11-06,Ward-Trantow,,-994.87,,,,
Credit Card 2,2022-10-27,Klein-Simonis,Precious Metals,873.68,,,,
Credit Card 1,2022-09-21,Cassin-Roob,,542.22,,,,
Credit Card 1,2022-11-19,"Hegmann, Jerde and Johnson",Medical Specialities,-123.95,,,,
Credit Card 1,2022-12-24,Christiansen Group,n/a,-84.43,,,,
Bank 2,2023-04-17,Bernier Inc,Business Services,-56.3,,,,
Credit Card 1,2023-04-25,"Streich, Brekke and Keebler",Industrial Machinery/Components,156.9,,,,
Credit Card 2,2022-09-22,Herman Group,,-750.89,,,,
Credit Card 1,2022-02-20,Volkman-Jenkins,,-126.97,,,,
Bank 1,2023-04-04,"Feil, Muller and McGlynn",Natural Gas Distribution,-812.13,,,,
Credit Card 2,2023-03-29,Jenkins Inc,,404.47,,,,
Bank 1,2022-07-02,Schneider LLC,Medical/Nursing Services,-163.69,,,,
Bank 1,2023-05-10,Bergstrom Inc,Natural Gas Distribution,-140.16,,,,
Credit Card 2,2022-03-25,"Abernathy, Hackett and Bernhard",n/a,-42.87,,,,
Bank 1,2022-07-26,Little Inc,n/a,769.17,,,,
Credit Card 2,2022-08-08,Deckow LLC,Major Pharmaceuticals,353.25,,,,
Bank 1,2022-09-16,"Murphy, Schowalter and Hauck",,449.17,,,,
Credit Card 1,2022-09-12,"Sporer, Towne and Schmitt",,-939.68,,,,
Credit Card 2,2022-08-27,"Mueller, Jaskolski and Mueller",,-137.87,,,,
Bank 1,2022-10-16,Kutch-Kling,Industrial Machinery/Components,-98.03,,,,
